"ID"	"SiteFK"	"Circle"	"Orientation"	"Code"	"Species"
2511	1300	3	"D"	339	"Serviceberry"
2512	1300	3	"E"	340	"Serviceberry"
2513	1300	4	"A"	341	"Striped maple"
2514	1300	4	"B"	342	"Striped maple"
2515	1300	4	"C"	343	"White oak"
2516	1300	4	"D"	344	"Witch hazel"
2517	1300	4	"E"	345	"Witch hazel"
2518	1300	5	"A"	346	"Yellow birch"
2519	1300	5	"B"	347	"Yellow birch"
2520	1300	5	"C"	348	"8"
2521	1300	5	"D"	349	"8"
2522	1300	5	"E"	350	"9"
2523	1300	1	"A"	351	"9"
2524	1300	1	"B"	352	"Red maple"
2525	1300	1	"C"	353	"Red maple"
2526	1300	1	"D"	354	"Red oak"
2527	1300	1	"E"	355	"Red oak"
2528	1300	2	"A"	356	"Striped maple"
2529	1300	2	"B"	357	"American chestnut"
2530	1300	2	"C"	358	"American chestnut"
2531	1300	2	"D"	359	"Red maple"
2532	1300	2	"E"	360	"Red maple"
2533	1300	3	"A"	361	"Red oak"
2534	1300	3	"B"	362	"Red oak"
2535	1300	3	"C"	363	"Striped maple"
2536	1300	3	"D"	364	"8"
2537	1300	3	"E"	365	"8"
2538	1300	4	"A"	366	"9"
2539	1300	4	"B"	367	"9"
2540	1300	4	"C"	368	"American chestnut"
2541	1300	4	"D"	369	"American chestnut"
2542	1300	4	"E"	370	"Mountain winterberry"
2543	1300	5	"A"	371	"Mountain winterberry"
2544	1300	5	"B"	372	"Red maple"
2545	1300	5	"C"	373	"Red maple"
2546	1300	5	"D"	374	"Red oak"
2547	1300	5	"E"	375	"Red oak"
2548	1300	1	"A"	376	"Rhododendron"
2549	1300	1	"B"	377	"Rhododendron"
2550	1300	1	"C"	378	"Serviceberry"
2551	1300	1	"D"	379	"Serviceberry"
2552	1300	1	"E"	380	"Striped maple"
2553	1300	2	"A"	381	"Striped maple"
2554	1300	2	"B"	382	"Witch hazel"
2555	1300	2	"C"	383	"Witch hazel"
2556	1300	2	"D"	384	"Yellow birch"
2557	1300	2	"E"	385	"Yellow birch"
2558	1300	3	"A"	386	"Red maple"
2559	1300	3	"B"	387	"Red maple"
2560	1300	3	"C"	388	"Red oak"
2561	1300	3	"D"	389	"Red oak"
2562	1300	3	"E"	390	"Striped maple"
2563	1300	4	"A"	391	"Striped maple"
2564	1300	4	"B"	392	"American beech"
2565	1300	4	"C"	393	"American beech"
2566	1300	4	"D"	394	"American chestnut"
2567	1300	4	"E"	395	"American chestnut"
2568	1300	5	"A"	396	"Black birch"
2569	1300	5	"B"	397	"Black birch"
2570	1300	5	"C"	398	"Black locust"
2571	1300	5	"D"	399	"Cucumber magnolia"
2572	1300	5	"E"	400	"Cucumber magnolia"
2573	1300	1	"A"	401	"Hawthorn sp."
2574	1300	1	"B"	402	"Hawthorn sp."
2575	1300	1	"C"	403	"Mountain winterberry"
2576	1300	1	"D"	404	"Mountain winterberry"
2577	1300	1	"E"	405	"Red maple"
2578	1300	2	"A"	406	"Red maple"
2579	1300	2	"B"	407	"Red oak"
2580	1300	2	"C"	408	"Red oak"
2581	1300	2	"D"	409	"Rhododendron"
2582	1300	2	"E"	410	"Rhododendron"
2583	1300	3	"A"	411	"Serviceberry"
2584	1300	3	"B"	412	"Serviceberry"
2585	1300	3	"C"	413	"Striped maple"
2586	1300	3	"D"	414	"Striped maple"
2587	1300	3	"E"	415	"White ash"
2588	1300	4	"A"	416	"White ash"
2589	1300	4	"B"	417	"Yellow birch"
2590	1300	4	"C"	418	"Yellow birch"
2591	1300	4	"D"	419	"8"
2592	1300	4	"E"	420	"8"
2593	1300	5	"A"	421	"American chestnut"
2594	1300	5	"B"	422	"American chestnut"
2595	1300	5	"C"	423	"Black gum"
2596	1300	5	"D"	424	"Black gum"
2597	1300	5	"E"	425	"Black locust"
2598	1300	1	"A"	426	"Black locust"
