Comments	arthropodNotes	NumberOfLeaves	Group	Hairy	Rolled	Tented	BeetleLarva	Sawfly
"JDH, AMR, ADK, RWC"		NA		NA	NA	NA	NA	NA
"JDH, AMR, ADK, RWC, JMS"		NA		NA	NA	NA	NA	NA
"JDH, AMR, ADK, RWC, JMS, 2 stems"		NA		NA	NA	NA	NA	NA
"JDH, AMR, ADK, RWC, JMS, multiple stems"		NA		NA	NA	NA	NA	NA
"JDH, AMR, ADK, saturnid (oakworm)"	saturnid (oakworm)	NA		NA	NA	NA	NA	NA
"JDH, AMR, RWC"		NA		NA	NA	NA	NA	NA
"JDH, AMR, RWC, 2 stems"		NA		NA	NA	NA	NA	NA
"JDH, AMR, RWC, all on one leaf!"	all on one leaf!	NA		NA	NA	NA	NA	NA
"JDH, AMR, RWC, multiple stems"		NA		NA	NA	NA	NA	NA
"JDH, JLH, MHC"		NA		NA	NA	NA	NA	NA
"JDH, JLH, MHC, 2 stems"		NA		NA	NA	NA	NA	NA
"JDH, MHC, JLH"		NA		NA	NA	NA	NA	NA
"JDH, NRH"		NA		NA	NA	NA	NA	NA
"JDH, NRH, 2 stems"		NA		NA	NA	NA	NA	NA
"JDH, RWC"		NA		NA	NA	NA	NA	NA
"JDH, RWC two stems for 50"		NA		NA	NA	NA	NA	NA
"JDH, RWC, JLH"		NA		NA	NA	NA	NA	NA
"JDH, RWC, JLH, 2 stems"		NA		NA	NA	NA	NA	NA
"JDH, RWC, JLH, MHC, NAW"		NA		NA	NA	NA	NA	NA
"JDH, RWC, JLH, MHC, NAW 2 stems"		NA		NA	NA	NA	NA	NA
"JDH, RWC, RJC"		NA		NA	NA	NA	NA	NA
"JDH, RWC. RJC"		NA		NA	NA	NA	NA	NA
JHW		NA		NA	NA	NA	NA	NA
JLH		NA		NA	NA	NA	NA	NA
"JLH, ADK"		NA		NA	NA	NA	NA	NA
"JLH, ADK, 2 stems"		NA		NA	NA	NA	NA	NA
"JLH, ADK, AMR"		NA		NA	NA	NA	NA	NA
"JLH, ADK, AMR, 2 stems"		NA		NA	NA	NA	NA	NA
"JLH, AJL, JMW"		NA		NA	NA	NA	NA	NA
"JLH, AJL, JMW, two stems for 50"		NA		NA	NA	NA	NA	NA
"JLH, AMR, ADK"		NA		NA	NA	NA	NA	NA
"JLH, AMR, ADK, fat!"	fat!	NA		NA	NA	NA	NA	NA
"JLH, AMR, ADK, RWC"		NA		NA	NA	NA	NA	NA
"JLH, AMR, ADK, RWC, 2 stems"		NA		NA	NA	NA	NA	NA
"JLH, AMR, ADK, RWC, a linden looper!"	a linden looper!	NA		NA	NA	NA	NA	NA
"JLH, AMR, ADK, RWC, caterpillar dropped (probably a noctuid)"	caterpillar dropped (probably a noctuid)	NA		NA	NA	NA	NA	NA
"JLH, AMR, MHC, JDH"		NA		NA	NA	NA	NA	NA
"JLH, AMR, MHC, JDH, fat!"	fat!	NA		NA	NA	NA	NA	NA
"JLH, AMR, MHC, JDH, parasitized"	parasitized	NA		NA	NA	NA	NA	NA
"JLH, BML, CRB"		NA		NA	NA	NA	NA	NA
"JLH, BML, CRB, can’t find second yellow birch"		NA		NA	NA	NA	NA	NA
"JLH, BML, CRB, dotted with orange head (confused woodgrain?)"	dotted with orange head (confused woodgrain?)	NA		NA	NA	NA	NA	NA
"JLH, BML, CRB, dotted with orange head again! (confused woodgrain)"	dotted with orange head again! (confused woodgrain)	NA		NA	NA	NA	NA	NA
"JLH, BML, CRB, fly larva"	fly larva	NA	fly	NA	NA	NA	NA	NA
"JLH, BML, CRB, fly larva, two stems for fifty leaves"	fly larva	NA	fly	NA	NA	NA	NA	NA
"JLH, BML, RWC"		NA		NA	NA	NA	NA	NA
"JLH, BML, RWC, counted little scraggly leaves on base of tree, where is the other service?"		NA		NA	NA	NA	NA	NA
"JLH, BML, RWC, EAB, MHC, JMW"		NA		NA	NA	NA	NA	NA
"JLH, BML, RWC, EAB, MHC, JMW, 2 stems for 50 leaves"		NA		NA	NA	NA	NA	NA
"JLH, BML, RWC, JDH, DS"		NA		NA	NA	NA	NA	NA
"JLH, BML, RWC, JDH, DS, 2 stems for fifty leaves"		NA		NA	NA	NA	NA	NA
"JLH, BML, RWC, JDH, DS, fly larva"	fly larva	NA	fly	NA	NA	NA	NA	NA
"JLH, BML, RWC, JDH, DS, saturnid - fat with spikes and patterned purpley-green"	saturnid - fat with spikes and patterned purpley-green	NA		1	NA	NA	NA	NA
"JLH, CAH"		NA		NA	NA	NA	NA	NA
"JLH, CAH, AJC"		NA		NA	NA	NA	NA	NA
"JLH, CAH, AJC, LTC"		NA		NA	NA	NA	NA	NA
"JLH, CAH, AJC, LTC, andy squished it!"	andy squished it!	NA		NA	NA	NA	NA	NA
"JLH, CAH, AJC, LTC, saturnid"	saturnid	NA		NA	NA	NA	NA	NA
"JLH, CAH, AJC, LTC, tunnel maker"	tunnel maker	NA		NA	NA	NA	NA	NA
"JLH, CAH, JMC, LTC"		NA		NA	NA	NA	NA	NA
"JLH, CAH, LTC"		NA		NA	NA	NA	NA	NA
"JLH, CAH, LTC, AJC"		NA		NA	NA	NA	NA	NA
"JLH, CAH, LTC, JMC"		NA		NA	NA	NA	NA	NA
"JLH, CK, MHC"		NA		NA	NA	NA	NA	NA
"JLH, CMK, SAW, Nissa"		NA		NA	NA	NA	NA	NA
"JLH, CMK, SAW, Nissa, fuzzy"	fuzzy	NA		1	NA	NA	NA	NA
"JLH, CMK, SAW, Nissa, no length recorded, estimated"	"no length recorded, estimated"	NA		NA	NA	NA	NA	NA
"JLH, CMK, SAW, Nissa, pathetic leaves"		NA		NA	NA	NA	NA	NA
"JLH, CRB"		NA		NA	NA	NA	NA	NA
"JLH, CRB, confused woodgrain"	confused woodgrain	NA		NA	NA	NA	NA	NA
"JLH, CRB, EAB"		NA		NA	NA	NA	NA	NA
"JLH, CRB, EAB, 2 STEMS"		NA		NA	NA	NA	NA	NA
"JLH, CRB, EAB, 3 STEMS"		NA		NA	NA	NA	NA	NA
"JLH, CRB, EAB, FLY LARVA"	fly larva	NA	fly	NA	NA	NA	NA	NA
"JLH, CRB, MHC, EAB"		NA		NA	NA	NA	NA	NA
"JLH, CRB, MHC, EAB, 2 stems"		NA		NA	NA	NA	NA	NA
"JLH, CRB, speckled green fruitworm"	speckled green fruitworm	NA		NA	NA	NA	NA	NA
"JLH, DS, BML, RWC, JDH"		NA		NA	NA	NA	NA	NA
"JLH, EAB"		NA		NA	NA	NA	NA	NA
"JLH, EAB, BML, JMW, JMF"		NA		NA	NA	NA	NA	NA
"JLH, EAB, can’t find red maple 2"		NA		NA	NA	NA	NA	NA
"JLH, EAB, CRB"		NA		NA	NA	NA	NA	NA
"JLH, EAB, CRB "		NA		NA	NA	NA	NA	NA
"JLH, EAB, sphingidae"	sphingidae	NA		NA	NA	NA	NA	NA
"JLH, EAB, two trees for 50 leaves"		NA		NA	NA	NA	NA	NA
"JLH, GSP, CAH, RJC"		NA		NA	NA	NA	NA	NA
"JLH, GSP, CAH, RJC, two trees"		NA		NA	NA	NA	NA	NA
"JLH, GSP, CMK"		NA		NA	NA	NA	NA	NA
"JLH, GSP, SAW, CMK"		NA		NA	NA	NA	NA	NA
"JLH, GSP, SAW, PKS, CMK"		NA		NA	NA	NA	NA	NA
"JLH, JDH, ADK, AMR"		NA		NA	NA	NA	NA	NA
"JLH, JDH, ADK, AMR, 2 stems"		NA		NA	NA	NA	NA	NA
"JLH, JDH, ADK, AMR, multiple stems"		NA		NA	NA	NA	NA	NA
"JLH, JDH, ADK, AMR, RED SPOTS!!!!"	red spots!!!!	NA		NA	NA	NA	NA	NA
"JLH, JDH, RJC, RWC, MHC"		NA		NA	NA	NA	NA	NA
"JLH, JMF"		NA		NA	NA	NA	NA	NA
"JLH, JMF (2 stems for 50 leaves)"		NA		NA	NA	NA	NA	NA
"JLH, JMF, EAB, CRB"		NA		NA	NA	NA	NA	NA
"JLH, JMF, EAB, CRB,"		NA		NA	NA	NA	NA	NA
"JLH, JMF, EAB, CRB, "		NA		NA	NA	NA	NA	NA
"JLH, JMF, EAB, CRB, 2 trees for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, MHC"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, MHC two trees for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, MHC, bristly"	bristly	NA		1	NA	NA	NA	NA
"JLH, JMF, JMW, MHC, fuzzy"	fuzzy	NA		1	NA	NA	NA	NA
"JLH, JMF, JMW, RWC"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, RWC, MHC"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, RWC, two stems for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, RWC, two trees for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, three trees for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMF, JMW, two trees for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMF, MHC"		NA		NA	NA	NA	NA	NA
"JLH, JMF, MHC  "		NA		NA	NA	NA	NA	NA
"JLH, JMF, MHC (2 trees for 50)"		NA		NA	NA	NA	NA	NA
"JLH, JMF, two trees for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMW"		NA		NA	NA	NA	NA	NA
"JLH, JMW "		NA		NA	NA	NA	NA	NA
"JLH, JMW 2 stems"		NA		NA	NA	NA	NA	NA
"JLH, JMW fuzzy"	fuzzy	NA		1	NA	NA	NA	NA
"JLH, JMW mult. stems"		NA		NA	NA	NA	NA	NA
"JLH, JMW,  MHC"		NA		NA	NA	NA	NA	NA
"JLH, JMW,  MHC, two trees for 50"		NA		NA	NA	NA	NA	NA
"JLH, JMW, 2 stems"		NA		NA	NA	NA	NA	NA
"JLH, JMW, 2 STEMS"		NA		NA	NA	NA	NA	NA
