Comments	arthropodNotes	NumberOfLeaves	Group	Hairy	Rolled	Tented	BeetleLarva	Sawfly
two trees for 50 leaves		NA		NA	NA	NA	NA	NA
"two trees, JLH, CAH"		NA		NA	NA	NA	NA	NA
"two trees, JLH, PKS, CAH, JMC, LTC"		NA		NA	NA	NA	NA	NA
VML		NA		NA	NA	NA	NA	NA
WBL		NA		NA	NA	NA	NA	NA
"WBL, 2 stem"		NA		NA	NA	NA	NA	NA
"WBL, 47 leaves, multistem"		NA		NA	NA	NA	NA	NA
"WBL, AMC"		NA		NA	NA	NA	NA	NA
"WBL, AMC,"		NA		NA	NA	NA	NA	NA
"WBL, AMC, 2 stem"		NA		NA	NA	NA	NA	NA
"WBL, AMC, 2 stems"		NA		NA	NA	NA	NA	NA
"WBL, AMC, 3 stem"		NA		NA	NA	NA	NA	NA
"WBL, AMC, multiple stems"		NA		NA	NA	NA	NA	NA
"WBL, AMC, multistem"		NA		NA	NA	NA	NA	NA
"WBL, AMC, NEK"		NA		NA	NA	NA	NA	NA
"WBL, AMC, ZSZ"		NA		NA	NA	NA	NA	NA
"WBL, AMC, ZSZ, multistem"		NA		NA	NA	NA	NA	NA
"WBL, BMW"		NA		NA	NA	NA	NA	NA
"WBL, BMW, 2 stem"		NA		NA	NA	NA	NA	NA
"WBL, BMW, 3 stem"		NA		NA	NA	NA	NA	NA
"WBL, BMW, multistem"		NA		NA	NA	NA	NA	NA
"WBL, BMW, multistem, small leaves"		NA		NA	NA	NA	NA	NA
"WBL, BMW, small leaves"		NA		NA	NA	NA	NA	NA
"WBL, BMW, small leaves, multistem"		NA		NA	NA	NA	NA	NA
"WBL, multistem"		NA		NA	NA	NA	NA	NA
"WBL, NEK, BMW, RWC"		NA		NA	NA	NA	NA	NA
"WBL, NEK, BMW, RWC, 2 stems"		NA		NA	NA	NA	NA	NA
"WBL, NEK, BMW, RWC, multiple stems"		NA		NA	NA	NA	NA	NA
"WBL, RJC"		NA		NA	NA	NA	NA	NA
"WBL, RJC, 2 stem"		NA		NA	NA	NA	NA	NA
"WBL, RJC, 3 stem"		NA		NA	NA	NA	NA	NA
"WBL, RJC, multistem"		NA		NA	NA	NA	NA	NA
"WBL, RWC, ZSZ"		NA		NA	NA	NA	NA	NA
"WBL, RWC, ZSZ, 2 stems"		NA		NA	NA	NA	NA	NA
"WBL, RWC, ZSZ, multiple stems"		NA		NA	NA	NA	NA	NA
"WBL, ZSZ"		NA		NA	NA	NA	NA	NA
"WBL, ZSZ, "		NA		NA	NA	NA	NA	NA
"WBL, ZSZ,  3 stem"		NA		NA	NA	NA	NA	NA
"WBL, ZSZ, 2 stem"		NA		NA	NA	NA	NA	NA
"WBL, ZSZ, 3 stem"		NA		NA	NA	NA	NA	NA
"WBL, ZSZ, multistem"		NA		NA	NA	NA	NA	NA
"white w/ yellow stripes, SAW, CMK"	white w/ yellow stripes	NA		NA	NA	NA	NA	NA
"wigling insect, emerging from pupa?"	"wigling insect, emerging from pupa?"	NA		NA	NA	NA	NA	NA
with happy face	with happy face	NA		NA	NA	NA	NA	NA
yellow and white	yellow and white	NA		NA	NA	NA	NA	NA
yellow with diamond patterns	yellow with diamond patterns	NA		NA	NA	NA	NA	NA
yellow with diamonds	yellow with diamonds	NA		NA	NA	NA	NA	NA
yellow with gray ends	yellow with gray ends	NA		NA	NA	NA	NA	NA
ZSZ		NA		NA	NA	NA	NA	NA
"ZSZ, AMC"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC,"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, 2 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, 2 stem, small leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, 3 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, 43 leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, 2 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, 2 stem, tiny leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, 2 stems"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, 3 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, 3 stem, tiny leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, fuzzy"	fuzzy	NA		1	NA	NA	NA	NA
"ZSZ, AMC, BMW, hanging from leaf"	hanging from leaf	NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, larva"	larva	NA	unidentified	NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, multistem, tiny leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, small leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, tiny leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW, tiny leaves, 3 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, BMW,multistem, tiny leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, small leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, small leaves, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC, tiny leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, AMC,multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW ,WBL"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW ,WBL, 2 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW ,WBL, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, 2 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, 2 stems"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, 3 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, 3 stems"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, AMC"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, AMC, 2 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, AMC, 2 stems"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, AMC, mulistem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, AMC, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, multiple stems"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, small leaves"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, small leaves, 2 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, BMW, small leaves, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, fuzzy, webbed"	"fuzzy, webbed"	NA		1	NA	NA	NA	NA
"ZSZ, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, NEK"		NA		NA	NA	NA	NA	NA
"ZSZ, NEK,  multiple stems"		NA		NA	NA	NA	NA	NA
"ZSZ, NEK, multiple stems"		NA		NA	NA	NA	NA	NA
"ZSZ, RWC"		NA		NA	NA	NA	NA	NA
"ZSZ, RWC, 2 stems"		NA		NA	NA	NA	NA	NA
"ZSZ, RWC, multiple stems"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL,"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, "		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, 2 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, 3 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, 46 leaves"		46		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC,"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, 2 stems"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain,"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain, 3 stem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain, multiple stems"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain, two stem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain. multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, AMC, rain. two stem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, multistem"		NA		NA	NA	NA	NA	NA
"ZSZ, WBL, multistem, 16 tiny"		NA		NA	NA	NA	NA	NA
